测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
openssh,oe_test_sec_jump_login,2023-05-25-17_01_11.log,,0,0,0,0,0,0,0,0,0
openssh,oe_test_openssh_cipher,2023-05-25-16_57_07.log,,0,0,0,0,0,0,0,0,0
openssh,oe_test_sec_ssh,2023-05-25-16_59_53.log,"file missing
",0,0,0,0,1,0,0,0,0
net-tools,oe_test_net-tools_ipmaddr,2023-05-25-17_01_45.log,,0,0,0,0,0,0,0,0,0
net-tools,oe_test_net-tools_route,2023-05-25-17_01_22.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_expect,2023-05-25-20_04_50.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_libffi,2023-05-25-20_03_23.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_c++,2023-05-25-17_00_26.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_gmp,2023-05-25-20_02_39.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_power_measurement_internal,2023-05-25-18_33_34.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_disk_io_sched,2023-05-25-20_06_43.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_system_log_view,2023-05-25-17_07_19.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_uname,2023-05-25-17_06_51.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_power_powertop2tuned_optimize,2023-05-25-18_30_52.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_net_mtr,2023-05-25-19_57_55.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_disk_schedule_specific,2023-05-25-18_46_40.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_nmcli_set_team,2023-05-25-19_54_19.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_disk_graphics_card,2023-05-25-19_53_38.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_lastb,2023-05-25-20_07_38.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_server_squid_blacklist,2023-05-25-17_16_53.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_auditctl,2023-05-25-17_04_36.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_awk,2023-05-25-17_03_11.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_kernel_kdump,2023-05-25-19_17_11.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_dmraid,2023-05-25-16_59_38.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_system_log_recorded,2023-05-25-17_07_47.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_whereis,2023-05-25-16_58_16.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_system_log_dmesg,2023-05-25-17_08_10.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_nmcli_set_bond,2023-05-25-19_52_47.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_system_monitor_share_total,2023-05-25-19_53_28.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_server_openssh_verifykey,2023-05-25-17_20_16.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
os-basic,oe_test_kernel_module_operation,2023-05-25-19_51_11.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
os-basic,oe_test_xmlsec,2023-05-25-20_05_09.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_who,2023-05-25-16_57_06.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_envsubst,2023-05-25-16_57_18.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_chsh,2023-05-25-20_37_55.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_zlib,2023-05-25-19_57_05.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_sos,2023-05-25-17_58_06.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_aureport,2023-05-25-20_07_48.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_IOaccess_1Gfile,2023-05-25-19_21_05.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_power_powertop_powerup,2023-05-25-18_29_05.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_catman,2023-05-25-16_58_39.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_xzcmp,2023-05-25-20_48_58.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_count_gperftools_function,2023-05-25-20_39_29.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_fuse,2023-05-25-17_03_57.log,,0,0,0,0,0,0,0,0,0
