测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
netcf,oe_test_service_netcf-transaction,2023-08-08-11_47_03.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
qperf,oe_test_qperf_01,2023-08-08-20_15_33.log,"timeout
",0,0,0,0,0,0,0,0,1
dmidecode,oe_test_dmidecode,2023-08-08-11_34_20.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
patchutils,oe_test_patchutils_interdiff_01,2023-08-08-09_58_35.log,,0,0,0,0,0,0,0,0,0
patchutils,oe_test_patchutils_combinediff_01,2023-08-08-09_49_51.log,,0,0,0,0,0,0,0,0,0
patchutils,oe_test_patchutils_flipdiff_01,2023-08-08-09_54_04.log,,0,0,0,0,0,0,0,0,0
tog-pegasus,oe_test_service_tog-pegasus,2023-08-08-12_02_40.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
smoke-basic-os,oe_test_user_debug_iotop_SCEN_01,2023-08-08-13_57_16.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_perf,2023-08-08-10_45_07.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_grub2_mkconfig,2023-08-08-11_52_08.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_glibc_getaddrinfo_01,2023-08-08-11_50_54.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_llvm,2023-08-08-11_00_18.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_rsyslog_08,2023-08-08-12_33_07.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_gettext,2023-08-08-12_21_58.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_firewalld_server,2023-08-08-11_50_43.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_criu,2023-08-08-10_21_33.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_os-prober_02,2023-08-08-12_18_04.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_ip6tables_02,2023-08-08-11_53_37.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_yumgroup_001,2023-08-08-10_54_21.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_rpm_cmd,2023-08-08-12_26_28.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ncurses,2023-08-08-12_09_34.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_logrotate_004,2023-08-08-14_00_57.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_aide_init_database,2023-08-08-13_29_13.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_sevice_001,2023-08-08-10_47_20.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ipv6_dnsmasq,2023-08-08-11_56_27.log,"file missing
",0,0,0,0,1,0,0,0,0
